chrom	length	bases	mean	min	max
TE_00001253#DNA/Helitron	4701	54007	11.49	0	46
TE_00001254#DNA/DTT	2570	45755	17.80	0	255
TE_00001255#DNA/DTT	970	3725	3.84	0	9
TE_00001256#DNA/DTT	1680	6353	3.78	0	19
TE_00001257#DNA/DTT	2803	62066	22.14	0	217
TE_00001258#DNA/DTT	3829	220076	57.48	0	414
TE_00001259#DNA/Helitron	16234	135317	8.34	0	325
TE_00001260#DNA/DTT	1459	10309	7.07	0	165
TE_00001261#DNA/Helitron	2083	49967	23.99	1	189
TE_00001262#DNA/DTM	2430	45794	18.85	1	106
TE_00001263#DNA/DTM	2414	21171	8.77	0	63
TE_00001264#DNA/DTM	3176	8615	2.71	0	51
TE_00001265#DNA/DTC	1638	5552	3.39	0	22
TE_00001266#DNA/DTT	1497	4244	2.84	0	38
TE_00001267#DNA/DTT	967	2663	2.75	0	24
TE_00001268#DNA/DTT	2361	8637	3.66	0	31
TE_00001269#DNA/DTT	1232	3749	3.04	0	13
TE_00001270#DNA/DTT	2882	34722	12.05	0	346
TE_00001271#DNA/DTT	2956	18306	6.19	0	57
TE_00001272#DNA/DTT	3233	42178	13.05	0	231
TE_00001273#DNA/Helitron	1923	14864	7.73	0	100
TE_00001274#DNA/DTT	570	1707	2.99	0	6
TE_00001275#DNA/DTM	1565	4437	2.84	0	12
TE_00001276#DNA/Helitron	1929	4522	2.34	0	11
TE_00001277#DNA/DTM	1735	27583	15.90	3	83
TE_00001278#DNA/DTT	1872	7594	4.06	0	41
TE_00001279#DNA/Helitron	3247	19165	5.90	0	58
TE_00001280#DNA/Helitron	11135	140053	12.58	0	113
TE_00001281#DNA/DTT	815	8752	10.74	0	56
TE_00001282#DNA/DTT	2760	22272	8.07	0	692
TE_00001283#DNA/DTT	2076	6708	3.23	0	38
TE_00001284#DNA/Helitron	3219	23776	7.39	1	28
TE_00001285#DNA/DTT	2133	7022	3.29	0	80
TE_00001286#DNA/DTC	3291	12455	3.78	0	57
TE_00001287#DNA/DTT	1441	4977	3.45	0	11
TE_00001288#DNA/Helitron	2100	66064	31.46	3	96
TE_00001289#DNA/Helitron	6923	282010	40.74	0	291
TE_00001290#DNA/Helitron	7210	109365	15.17	0	185
TE_00001291#DNA/DTM	993	8989	9.05	0	23
TE_00001292#DNA/DTT	3585	106397	29.68	0	161
TE_00001293#DNA/DTT	1016	5147	5.07	0	33
TE_00001294#DNA/DTM	2757	32074	11.63	0	100
TE_00001295#DNA/DTT	2610	17416	6.67	0	177
TE_00001296#DNA/DTM	653	35837	54.88	2	173
TE_00001297#DNA/DTT	3342	48592	14.54	2	61
TE_00001298#DNA/DTT	3200	29789	9.31	0	80
TE_00001299#DNA/Helitron	13823	183129	13.25	0	133
TE_00001300#DNA/DTC	2098	12565	5.99	0	105
TE_00001301#MITE/DTT	415	4401	10.60	0	44
TE_00001302#DNA/DTT	1116	5030	4.51	0	24
TE_00001303#DNA/DTT	4118	18262	4.43	0	90
TE_00001304#DNA/DTT	852	4201	4.93	2	52
TE_00001305#DNA/DTT	3206	8190	2.55	0	11
TE_00001306#DNA/DTT	2452	4182	1.71	0	7
TE_00001307#DNA/DTT	3192	13599	4.26	0	83
TE_00001308#DNA/Helitron	3847	25355	6.59	0	81
TE_00001309#DNA/DTT	527	2614	4.96	0	64
TE_00001310#DNA/DTM	717	860	1.20	0	10
TE_00001311#DNA/Helitron	6851	102704	14.99	0	205
TE_00001312#DNA/DTT	1636	22850	13.97	0	142
TE_00001313#DNA/DTT	2923	18906	6.47	0	104
TE_00001314#DNA/DTT	2558	12427	4.86	0	60
TE_00001315#DNA/DTT	2267	8660	3.82	0	31
TE_00001316#DNA/DTT	1605	6227	3.88	0	15
TE_00001317#DNA/DTC	3108	47554	15.30	0	51
TE_00001318#DNA/DTC	3428	721209	210.39	0	1126
TE_00001319#DNA/DTT	2481	12491	5.03	0	43
TE_00001320#DNA/DTT	265	2108	7.95	0	29
TE_00001321#DNA/DTC	1793	5632	3.14	0	18
TE_00001322#DNA/DTT	800	8309	10.39	1	52
TE_00001323#DNA/Helitron	6806	200941	29.52	0	254
TE_00001324#DNA/DTT	2205	7653	3.47	0	30
TE_00001325#DNA/DTT	1367	2646	1.94	0	16
TE_00001326#DNA/DTM	1645	5244	3.19	0	9
TE_00001327#DNA/DTT	755	4098	5.43	1	22
TE_00001328#DNA/DTT	2441	6929	2.84	0	16
TE_00001329#DNA/DTT	2088	7977	3.82	0	16
TE_00001330#DNA/DTT	2438	46855	19.22	3	70
TE_00001331#DNA/DTT	2551	39063	15.31	3	29
TE_00001332#DNA/DTT	2785	31437	11.29	0	271
TE_00001333#DNA/Helitron	11327	46956	4.15	0	63
TE_00001334#DNA/DTT	2840	17939	6.32	0	134
TE_00001335#DNA/DTT	942	16184	17.18	0	108
TE_00001336#DNA/DTT	2212	8523	3.85	0	10
TE_00001337#DNA/DTT	1367	368599	269.64	0	1772
TE_00001338#DNA/DTT	2242	6496	2.90	0	49
TE_00001339#DNA/DTT	2377	133799	56.29	0	628
TE_00001340#DNA/DTM	1329	34831	26.21	0	174
TE_00001341#DNA/DTT	4318	263691	61.07	0	913
TE_00001343#DNA/DTT	3786	30360	8.02	0	248
TE_00001344#DNA/Helitron	5304	30495	5.75	0	32
TE_00001345#DNA/DTT	650	3188	4.90	0	104
TE_00001346#DNA/DTT	2588	11773	4.55	0	23
TE_00001347#DNA/Helitron	10215	95020	9.30	0	166
TE_00001348#DNA/DTT	3217	80602	25.06	0	471
TE_00001349#DNA/DTC	2156	4250	1.97	0	10
TE_00001350#DNA/DTT	1609	18592	11.56	0	157
TE_00001351#DNA/DTC	1053	2510	2.38	0	7
TE_00001352#DNA/DTT	1647	7158	4.35	0	18
TE_00001353#DNA/DTT	845	6595	7.80	0	35
TE_00001354#DNA/Helitron	3056	66993	21.92	0	58
TE_00001355#DNA/Helitron	1989	7210	3.62	0	11
TE_00001356#DNA/DTT	2043	10544	5.16	0	38
TE_00001357#DNA/DTT	2212	5472	2.47	0	7
TE_00001358#DNA/DTT	2661	21723	8.16	0	185
TE_00001359#DNA/DTT	1632	31407	19.24	0	106
TE_00001360#DNA/DTT	4458	50580	11.35	0	61
TE_00001361#DNA/DTC	3368	27512	8.17	0	85
TE_00001362#DNA/DTT	967	3199	3.31	0	21
TE_00001363#DNA/Helitron	3417	28099	8.22	0	124
TE_00001364#DNA/DTT	2152	13107	6.09	0	145
TE_00001365#DNA/DTT	1221	6504	5.33	0	61
TE_00001366#DNA/DTT	224	451	2.01	0	5
TE_00001367#DNA/DTT	2549	14572	5.72	0	88
TE_00001368#DNA/DTT	1200	15913	13.26	1	95
TE_00001369#DNA/DTT	2071	55556	26.83	0	300
TE_00001370#DNA/DTM	983	9796	9.97	0	74
TE_00001371#DNA/DTT	899	7986	8.88	0	63
TE_00001372#DNA/DTC	1652	5946	3.60	0	43
TE_00001373#DNA/DTT	916	33251	36.30	0	175
TE_00001374#DNA/Helitron	1705	14650	8.59	0	35
TE_00001375#DNA/DTT	838	2902	3.46	0	13
TE_00001376#DNA/DTT	2517	13600	5.40	0	271
TE_00001377#DNA/DTT	3591	188079	52.38	0	360
TE_00001378#DNA/DTT	1576	8096	5.14	0	45
TE_00001379#DNA/DTT	2168	7347	3.39	0	28
TE_00001380#DNA/DTT	794	2644	3.33	0	16
TE_00001381#DNA/DTT	2474	8954	3.62	0	17
TE_00001382#DNA/DTC	2019	10860	5.38	0	54
TE_00001383#DNA/DTT	3402	61729	18.14	0	178
TE_00001384#DNA/DTT	3606	19232	5.33	1	44
TE_00001385#DNA/DTM	957	13721	14.34	7	22
TE_00001386#DNA/DTM	828	7238	8.74	0	41
TE_00001387#DNA/DTT	1417	6744	4.76	0	114
TE_00001388#DNA/DTT	2687	104269	38.80	0	1400
TE_00001389#MITE/DTT	227	1475	6.50	0	25
TE_00001390#DNA/Helitron	7278	99869	13.72	0	248
TE_00001391#DNA/DTC	3583	41642	11.62	0	47
TE_00001392#DNA/Helitron	1865	35128	18.84	0	223
TE_00001393#DNA/DTT	3114	49831	16.00	0	217
TE_00001394#DNA/Helitron	4120	163362	39.65	0	686
TE_00001395#DNA/Helitron	1147	21329	18.60	0	35
TE_00001396#DNA/Helitron	8172	334841	40.97	0	249
TE_00001397#DNA/DTC	1487	443619	298.33	0	2466
TE_00001398#DNA/DTT	2390	12486	5.22	0	49
TE_00001399#DNA/DTC	3437	37710	10.97	0	92
TE_00001400#DNA/DTM	4194	157929	37.66	1	106
TE_00001401#DNA/Helitron	10653	111060	10.43	0	134
TE_00001402#DNA/DTT	1885	4824	2.56	0	9
TE_00001403#DNA/DTT	3269	32236	9.86	0	219
TE_00001404#DNA/DTM	1057	32477	30.73	2	102
TE_00001405#DNA/DTM	2231	5812	2.61	0	8
TE_00001406#DNA/DTT	184	514	2.79	0	5
TE_00001407#DNA/DTT	2708	10472	3.87	0	14
TE_00001408#DNA/DTT	2449	7040	2.87	0	14
TE_00001409#DNA/DTT	770	3478	4.52	0	15
TE_00001410#DNA/DTT	1782	14408	8.09	0	62
TE_00001411#DNA/DTT	1172	2020	1.72	0	10
TE_00001412#DNA/DTT	1388	258268	186.07	0	1801
TE_00001413#DNA/DTC	674	85231	126.46	0	201
TE_00001414#DNA/DTM	3426	35929	10.49	0	57
TE_00001415#DNA/Helitron	7617	84127	11.04	0	334
TE_00001416#DNA/DTM	2511	26367	10.50	0	110
TE_00001417#DNA/Helitron	2101	31087	14.80	1	40
TE_00001418#DNA/DTT	2212	7912	3.58	0	53
TE_00001419#DNA/DTM	689	46439	67.40	0	183
TE_00001420#DNA/DTT	4522	15994	3.54	0	47
TE_00001421#DNA/Helitron	11237	7043628	626.82	0	16630
TE_00001422#DNA/Helitron	5475	31881	5.82	0	71
TE_00001423#DNA/DTT	2053	9469	4.61	0	36
TE_00001424#DNA/DTT	1038	4164	4.01	0	24
TE_00001425#DNA/DTM	2889	44084	15.26	0	135
TE_00001426#DNA/Helitron	3603	167224	46.41	0	131
TE_00001427#DNA/DTT	4170	60094	14.41	2	124
TE_00001428#DNA/DTT	500	5102	10.20	2	40
TE_00001429#DNA/DTC	2715	8498	3.13	0	17
TE_00001430#DNA/DTT	3179	295524	92.96	0	674
TE_00001431#DNA/DTH	4492	1327085	295.43	0	1621
TE_00001432#DNA/DTC	3208	31559	9.84	0	45
TE_00001433#DNA/Helitron	5640	16591	2.94	0	39
TE_00001434#DNA/Helitron	12329	387370	31.42	0	424
TE_00001435#DNA/DTT	3939	181342	46.04	0	776
TE_00001436#DNA/Helitron	2736	10589778	3870.53	0	17706
TE_00001437#DNA/DTT	2520	10905	4.33	0	65
TE_00001438#DNA/DTM	1537	7214	4.69	0	26
TE_00001439#DNA/DTT	768	5465	7.12	1	32
TE_00001440#DNA/Helitron	10779	3161702	293.32	0	4371
TE_00001441#DNA/Helitron	10684	334461	31.30	0	507
TE_00001442#DNA/DTH	2319	61870	26.68	1	219
TE_00001443#DNA/DTT	1833	12482	6.81	0	99
TE_00001444#DNA/DTT	2334	71514	30.64	0	264
TE_00001445#DNA/DTT	870	1220	1.40	0	5
TE_00001446#DNA/DTT	435	5199	11.95	0	40
TE_00001447#DNA/Helitron	8313	1307488	157.28	0	2382
TE_00001448#DNA/Helitron	9280	184717	19.90	0	66
TE_00001449#DNA/DTC	1230	19331	15.72	0	46
TE_00001450#DNA/DTM	1362	23857	17.52	4	54
TE_00001451#DNA/DTT	4287	11828	2.76	0	22
TE_00001452#DNA/DTT	1322	6892	5.21	0	16
TE_00001453#DNA/DTC	3986	1207559	302.95	0	1233
TE_00001454#DNA/DTT	2643	32667	12.36	0	127
TE_00001455#DNA/DTT	1477	4715	3.19	0	28
TE_00001456#DNA/Helitron	12138	27463786	2262.63	0	10399
TE_00001457#DNA/DTT	3611	98056	27.15	0	471
TE_00001458#DNA/Helitron	2147	159147	74.13	2	394
TE_00001459#DNA/Helitron	14264	349985	24.54	0	690
TE_00001460#DNA/DTT	1277	7750	6.07	0	97
TE_00001461#DNA/DTT	191	445	2.33	0	4
TE_00001462#DNA/Helitron	6208	122405	19.72	0	336
TE_00001463#DNA/DTT	4239	114484	27.01	0	743
TE_00001464#DNA/DTM	1329	15157	11.40	0	24
TE_00001465#DNA/DTM	1517	27563	18.17	1	103
TE_00001466#DNA/Helitron	4148	80208	19.34	0	437
TE_00001467#DNA/DTM	840	14101	16.79	0	44
TE_00001468#DNA/Helitron	6147	97031	15.79	0	199
TE_00001469#DNA/DTT	2204	543430	246.57	0	2421
TE_00001470#DNA/DTT	2422	108153	44.65	0	1455
TE_00001471#DNA/DTC	668	1320	1.98	0	6
TE_00001472#DNA/DTC	3845	37062	9.64	0	33
TE_00001473#DNA/DTM	1123	7120	6.34	1	12
TE_00001474#DNA/DTH	730	8612	11.80	2	28
TE_00001475#DNA/Helitron	8730	47982	5.50	0	263
TE_00001476#DNA/DTC	2610	106566	40.83	0	833
TE_00001477#MITE/DTT	480	1966	4.10	0	14
TE_00001478#DNA/DTC	3700	52077	14.07	1	48
TE_00001479#DNA/DTT	2097	138463	66.03	0	412
TE_00001480#DNA/DTT	2691	39254	14.59	1	185
TE_00001481#DNA/DTT	3116	43175	13.86	0	97
TE_00001482#DNA/DTT	726	7036	9.69	0	114
TE_00001483#DNA/DTT	2069	4329	2.09	0	20
TE_00001484#DNA/DTH	3215	271308	84.39	0	1209
TE_00001485#DNA/DTT	4036	189643	46.99	0	442
TE_00001486#DNA/Helitron	2281	31752	13.92	0	149
TE_00001487#DNA/Helitron	6876	569040	82.76	0	1297
TE_00001488#DNA/DTC	4018	55091	13.71	0	58
TE_00001489#DNA/DTM	1925	6999	3.64	0	24
TE_00001490#DNA/Helitron	11531	198879	17.25	0	151
TE_00001491#DNA/Helitron	11825	142565	12.06	0	358
TE_00001492#DNA/DTM	2887	41227	14.28	0	88
TE_00001493#DNA/DTT	3540	14950	4.22	0	28
TE_00001494#DNA/DTT	4148	143515	34.60	0	224
TE_00001495#DNA/Helitron	14732	396183	26.89	0	1967
TE_00001496#DNA/DTT	2972	18227	6.13	0	96
TE_00001497#DNA/DTT	3610	81925	22.69	0	599
TE_00001498#DNA/Helitron	10915	1813213	166.12	0	1819
TE_00001499#DNA/Helitron	8938	83277	9.32	0	101
TE_00001500#DNA/Helitron	6346	46921	7.39	0	919
TE_00001501#DNA/DTT	1541	2510	1.63	0	10
TE_00001502#DNA/DTT	2727	14910	5.47	0	26
TE_00001503#DNA/DTT	4401	50151	11.40	0	56
TE_00001504#DNA/Helitron	11094	391313	35.27	0	504
TE_00001505#DNA/DTM	1293	10220	7.90	0	23
TE_00001506#DNA/DTT	3912	35324	9.03	0	103
TE_00001507#DNA/DTC	4740	109672	23.14	1	154
TE_00001508#DNA/DTM	1657	3733	2.25	0	26
TE_00001509#DNA/Helitron	6094	162261	26.63	0	140
TE_00001510#DNA/Helitron	5086	198798	39.09	0	285
TE_00001511#DNA/DTT	2288	135200	59.09	0	1359
TE_00001512#DNA/Helitron	7154	117197	16.38	0	177
TE_00001513#DNA/DTT	1165	3018	2.59	0	9
TE_00001514#DNA/Helitron	4451	213441	47.95	0	483
TE_00001515#DNA/DTT	2805	990306	353.05	0	3956
TE_00001516#DNA/DTM	969	3609	3.72	0	24
TE_00001517#DNA/DTM	1233	20271	16.44	0	69
TE_00001518#DNA/DTH	1291	14555	11.27	0	41
TE_00001519#DNA/DTH	1023	24824	24.27	0	119
TE_00001520_INT#LTR/Copia	4698	703659	149.78	0	477
TE_00001521_INT#LTR/Copia	3418	4636694	1356.55	2	4370
TE_00001522_INT#LTR/Gypsy	1220	2484761	2036.69	0	2641
TE_00001524_INT#LTR/Gypsy	109	203	1.86	1	2
TE_00001525_LTR#LTR/Gypsy	608	4364452	7178.38	3	10243
TE_00001526_INT#LTR/Copia	5127	234634	45.76	3	189
TE_00001528_INT#LTR/Copia	249	189711	761.89	10	1400
TE_00001529#DNA/DTC	170	8618	50.69	0	168
TE_00001530_INT#LTR/Gypsy	110	3755	34.14	0	46
TE_00001531_INT#LTR/Copia	4756	255598	53.74	3	115
TE_00001533#DNA/DTH	980	10903	11.13	0	29
TE_00001534#DNA/DTH	2670	597743	223.87	2	678
TE_00001535#DNA/DTC	4047	62961	15.56	0	514
TE_00001536#DNA/DTM	1909	6804	3.56	1	19
TE_00001537#MITE/DTM	270	128	0.47	0	1
TE_00001538_LTR#LTR/Copia	202	1377	6.82	3	11
TE_00001539_INT#LTR/Gypsy	405	355533	877.86	1	1428
TE_00001540#DNA/DTT	2010	21578	10.74	0	29
TE_00001541#DNA/DTT	661	110068	166.52	5	718
TE_00001542_INT#LTR/Copia	3373	1815504	538.25	0	2582
TE_00001543#DNA/DTM	1087	10874	10.00	0	33
TE_00001544#DNA/DTT	1288	77320	60.03	0	229
TE_00001545_INT#LTR/Gypsy	1241	2711137	2184.64	1	4186
TE_00001546#MITE/DTA	525	20436	38.93	1	49
TE_00001548_INT#LTR/Copia	4719	103847	22.01	0	60
TE_00001549_INT#LTR/Gypsy	4255	12155939	2856.86	9	14177
TE_00001550#DNA/Helitron	1663	10851	6.52	1	47
TE_00001551_INT#LTR/Copia	3425	2498266	729.42	0	3222
TE_00001552_INT#LTR/Gypsy	269	2091	7.77	0	16
TE_00001553_LTR#LTR/Gypsy	361	1209	3.35	0	9
TE_00001554#MITE/DTT	274	1713	6.25	0	16
TE_00001555_LTR#LTR/Copia	490	13871	28.31	6	73
TE_00001556#DNA/DTC	381	39797	104.45	3	161
TE_00001557#MITE/DTT	237	2587	10.92	1	37
TE_00001558#MITE/DTT	113	4969	43.97	1	229
TE_00001560#MITE/DTM	511	233546	457.04	28	1183
