chrom	length	bases	mean	min	max
TE_00000041#Unknown	175	368966	2108.38	102	3618
TE_00000042#Unknown	2659	11146712	4192.07	665	5770
TE_00000043#Unknown	1183	4973003	4203.72	1302	5531
TE_00000044#Unknown	179	5067823	28311.86	5699	42571
TE_00000045#Unknown	269	708851	2635.13	605	3832
TE_00000046#Unknown	272	1104073	4059.09	1	6539
TE_00000047#Unknown	914	1947287	2130.51	13	4588
TE_00000048#Unknown	348	2141373	6153.37	305	8093
TE_00000049#Unknown	767	283060	369.05	1	510
TE_00000050#Unknown	400	983057	2457.64	68	4961
TE_00000051#DNA/DTC	2068	7230239	3496.25	3	6534
TE_00000052#Unknown	351	2104526	5995.80	712	9921
TE_00000053#Unknown	467	208572	446.62	12	1014
TE_00000054#Unknown	380	871763	2294.11	15	4032
TE_00000055#Unknown	1162	2328322	2003.72	59	2804
TE_00000056#Unknown	708	1309339	1849.35	45	3257
TE_00000057#Unknown	801	1450076	1810.33	11	3627
TE_00000058#Unknown	1862	9875144	5303.51	1	10741
TE_00000059#Unknown	328	383268	1168.50	57	2138
TE_00000060#DNA/DTC	197	1148807	5831.51	3697	6445
TE_00000061#Unknown	2551	5887774	2308.03	229	3604
TE_00000062#Unknown	2011	9256313	4602.84	229	6831
TE_00000063#Unknown	2462	13465903	5469.50	2389	7433
TE_00000064#Unknown	213	1137501	5340.38	2522	6107
TE_00000065#Unknown	1047	2742592	2619.48	1	4283
TE_00000066#Unknown	1568	3604929	2299.06	52	3256
TE_00000067#Unknown	462	3579365	7747.54	4448	9037
TE_00000068#LINE/unknown	145	227	1.57	0	7
TE_00000069#Unknown	309	621519	2011.39	700	2333
TE_00000070#Unknown	169	509125	3012.57	770	8652
TE_00000071#Unknown	202	1282277	6347.91	4086	7448
TE_00000072#Unknown	199	565742	2842.92	586	4778
TE_00000073#Unknown	864	2302181	2664.56	232	6314
TE_00000074#Unknown	1963	11397466	5806.15	1525	8154
TE_00000075#Unknown	115	11213	97.50	0	175
TE_00000076#Unknown	2804	11837344	4221.59	3	6009
TE_00000077#Unknown	538	1203408	2236.82	13	7069
TE_00000078#Unknown	263	177536	675.04	67	1175
TE_00000079#Unknown	148	337656	2281.46	1176	2610
TE_00000080#Unknown	1682	12065090	7173.06	3072	8797
TE_00000081#Unknown	1598	2853272	1785.53	50	2453
TE_00000082#Unknown	454	1647521	3628.90	1444	4796
TE_00000083#Unknown	347	432682	1246.92	32	3438
TE_00000084#Unknown	801	3449983	4307.09	939	5379
TE_00000085#Unknown	152	575015	3782.99	563	4378
TE_00000086#Unknown	796	3607740	4532.34	2141	4961
TE_00000087#Unknown	154	505400	3281.82	1761	3862
TE_00000088#Unknown	416	1492367	3587.42	1605	4615
TE_00000089#Unknown	91	373414	4103.45	648	5263
TE_00000090#Unknown	1592	3349904	2104.21	299	3178
TE_00000091#Unknown	1089	3745680	3439.56	232	4974
TE_00000092#Unknown	389	2381179	6121.28	636	8073
TE_00000093#Unknown	597	2287287	3831.30	321	5104
TE_00000094#Unknown	175	912787	5215.93	521	8048
TE_00000095#Unknown	358	1213507	3389.68	30	4556
TE_00000096#Unknown	102	294813	2890.32	423	3177
TE_00000097#Unknown	453	1780210	3929.82	944	4982
TE_00000098#Unknown	454	958278	2110.74	337	3861
TE_00000099#Unknown	142	712681	5018.88	0	6662
TE_00000100#Unknown	326	1820214	5583.48	276	8628
TE_00000101#Unknown	870	3767266	4330.19	519	5709
TE_00000102#Unknown	357	1480294	4146.48	2225	5848
TE_00000103#Unknown	383	951856	2485.26	0	4128
TE_00000104#Unknown	403	2043703	5071.22	1825	5494
TE_00000105#Unknown	434	2275830	5243.85	2583	6895
TE_00000106#Unknown	141	282205	2001.45	329	2562
TE_00000107#Unknown	246	1549012	6296.80	3794	6866
TE_00000108#Unknown	592	2377914	4016.75	1567	5374
TE_00000109#Unknown	691	2352176	3404.02	13	5685
TE_00000110#Unknown	968	5288824	5463.66	719	6977
TE_00000111#Unknown	231	769760	3332.29	1338	5281
TE_00000112#Unknown	192	635636	3310.60	1754	4044
TE_00000113#Unknown	113	685340	6064.96	111	7484
TE_00000114#Unknown	2077	5845734	2814.51	13	16442
TE_00000115#Unknown	264	1049824	3976.61	1082	5590
TE_00000116#Unknown	4703	20760434	4414.30	1433	8243
TE_00000117#Unknown	679	1591427	2343.78	12	3578
TE_00000118#Unknown	247	1257821	5092.39	2698	5999
TE_00000119#Unknown	373	957304	2566.50	150	3945
TE_00000120#Unknown	500	1031818	2063.64	104	3118
TE_00000121#Unknown	285	288456	1012.13	1	1757
TE_00000122#Unknown	1696	8945802	5274.65	2135	6257
TE_00000123#Unknown	135	278265	2061.22	361	3330
TE_00000124#Unknown	336	659045	1961.44	461	3918
TE_00000125#Unknown	432	738887	1710.39	215	3321
TE_00000126#Unknown	388	1148612	2960.34	76	4279
TE_00000127#Unknown	463	3350009	7235.44	1732	19454
TE_00000128#Unknown	2287	6489003	2837.34	207	4560
TE_00000129#Unknown	279	175640	629.53	110	1061
TE_00000130#Unknown	676	1673843	2476.10	54	3758
TE_00000131#Unknown	127	2577	20.29	0	45
TE_00000132#Unknown	634	608608	959.95	57	1410
TE_00000133#Unknown	240	1765670	7356.96	1106	14258
TE_00000134#Unknown	268	1176447	4389.73	340	9469
TE_00000135#Unknown	152	58390	384.14	180	601
TE_00000136#LINE/unknown	2107	235765	111.90	0	493
TE_00000137#Unknown	922	319498	346.53	0	1251
TE_00000138#Unknown	375	1341570	3577.52	2	5098
TE_00000139#Unknown	3067	6574241	2143.54	18	4804
TE_00000140#Unknown	172	625024	3633.86	1869	5282
TE_00000141#Unknown	273	1384377	5070.98	3215	5893
TE_00000142#Unknown	1784	6175942	3461.85	871	4673
TE_00000143#Unknown	964	4927414	5111.43	906	6215
TE_00000144#Unknown	836	3748477	4483.82	1700	5603
TE_00000145#Unknown	1091	1719723	1576.28	14	2811
TE_00000146#Unknown	179	293504	1639.69	750	2645
TE_00000147#Unknown	271	794018	2929.96	446	4449
TE_00000148#Unknown	126	10929	86.74	0	116
TE_00000149#Unknown	1685	13234189	7854.12	1006	12016
TE_00000150#Unknown	583	814921	1397.81	10	3626
TE_00000151#Unknown	590	2424066	4108.59	0	6880
TE_00000152#Unknown	354	1948199	5503.39	200	7846
TE_00000153#Unknown	231	1815587	7859.68	1492	18285
TE_00000154#Unknown	564	4427960	7850.99	2793	10358
TE_00000155#Unknown	1670	11758060	7040.75	1739	10075
TE_00000156#Unknown	239	750270	3139.21	440	4165
TE_00000157#Unknown	1471	4554075	3095.90	539	5851
TE_00000158#Unknown	524	593345	1132.34	19	3929
TE_00000159#Unknown	263	222854	847.35	306	1496
TE_00000160#Unknown	167	880335	5271.47	639	5937
TE_00000161#Unknown	708	3201904	4522.46	87	5787
TE_00000162#Unknown	465	1359678	2924.04	685	4197
TE_00000163#Unknown	1119	1283240	1146.77	0	2001
TE_00000164#Unknown	1874	8922206	4761.05	0	9104
TE_00000165#Unknown	201	164197	816.90	374	1222
TE_00000166#Unknown	134	244049	1821.26	1198	2135
TE_00000167#Unknown	397	611393	1540.03	24	2311
TE_00000168#Unknown	1511	4042670	2675.49	8	4708
TE_00000169#Unknown	1527	3509719	2298.44	10	5825
TE_00000170#Unknown	271	324337	1196.82	152	2221
TE_00000171#Unknown	426	1528402	3587.80	23	4792
TE_00000172#Unknown	330	82048	248.63	23	476
TE_00000173#Unknown	233	788341	3383.44	335	5499
TE_00000174#LINE/unknown	1624	340435	209.63	0	568
TE_00000175#LINE/unknown	586	5642	9.63	0	74
TE_00000176#Unknown	172	384050	2232.85	0	3022
TE_00000177#Unknown	299	1338315	4475.97	917	5703
TE_00000178#Unknown	1409	2425597	1721.50	17	4481
TE_00000179#Unknown	2742	5574945	2033.17	68	3190
TE_00000180#Unknown	261	213008	816.12	0	1346
TE_00000181#Unknown	1772	9279367	5236.66	2104	6860
TE_00000182#Unknown	466	1948776	4181.92	515	5465
TE_00000183#Unknown	253	633282	2503.09	595	3193
TE_00000184#Unknown	1431	9671537	6758.59	3590	8439
TE_00000185#Unknown	1398	4526087	3237.54	128	4584
TE_00000186#Unknown	1208	6517501	5395.28	2068	7361
TE_00000187#Unknown	268	706029	2634.44	1436	3739
TE_00000188#Unknown	109	185417	1701.07	1137	1993
TE_00000189#Unknown	796	1587393	1994.21	6	5279
TE_00000190#Unknown	437	720084	1647.79	534	2792
TE_00000191#Unknown	84	21474	255.64	6	398
TE_00000192#Unknown	386	1543792	3999.46	0	6635
TE_00000193#Unknown	196	621382	3170.32	1953	3446
TE_00000194#Unknown	635	1969089	3100.93	252	5103
TE_00000195#Unknown	442	2232115	5050.03	2484	5762
TE_00000196#DNA/DTM	367	110541	301.20	10	530
TE_00000197#Unknown	981	1378313	1405.01	1	2810
TE_00000198#Unknown	381	417094	1094.73	4	2737
TE_00000199#Unknown	680	3035103	4463.39	954	6457
TE_00000200#Unknown	976	1871824	1917.85	920	2763
TE_00000201#Unknown	763	1123106	1471.96	106	3287
TE_00000202#Unknown	1540	6479203	4207.27	32	6081
TE_00000203#Unknown	262	1521372	5806.76	383	7634
TE_00000204#Unknown	209	639415	3059.40	543	4002
TE_00000205#Unknown	443	1484294	3350.55	0	5184
TE_00000206#Unknown	853	3243059	3801.94	247	5096
TE_00000207#Unknown	228	1423074	6241.55	4569	6771
TE_00000208#Unknown	118	750423	6359.52	4325	6878
TE_00000209#Unknown	143	430353	3009.46	1704	3367
TE_00000210#Unknown	814	846622	1040.08	0	1875
TE_00000211#Unknown	414	3026816	7311.15	114	11609
TE_00000212#Unknown	177	874094	4938.38	1509	7248
TE_00000213#Unknown	125	275619	2204.95	0	2389
TE_00000214#Unknown	170	328190	1930.53	859	2666
TE_00000215#Unknown	176	835176	4745.32	2302	5780
TE_00000216#Unknown	1592	2627996	1650.75	22	2081
TE_00000217#Unknown	560	2323091	4148.38	1815	5844
TE_00000218#Unknown	890	5077054	5704.56	2914	8270
TE_00000219#Unknown	638	1980212	3103.78	48	5932
TE_00000220#Unknown	1797	7319030	4072.92	38	5924
TE_00000221#Unknown	495	2171832	4387.54	2198	5434
TE_00000222#Unknown	1304	3091045	2370.43	5	4222
TE_00000223#Unknown	135	1675703	12412.61	7034	16672
TE_00000224#Unknown	152	766717	5044.19	2453	6352
TE_00000225#Unknown	561	1597706	2847.96	459	3816
TE_00000226#LINE/unknown	1745	115918	66.43	0	434
TE_00000227#Unknown	197	1135682	5764.88	1416	6111
TE_00000228#Unknown	1712	6973582	4073.35	3	5864
TE_00000229#Unknown	637	4679627	7346.35	3141	8904
TE_00000230#Unknown	259	1219647	4709.06	32	5646
TE_00000231#Unknown	1005	3106385	3090.93	1157	3948
TE_00000232#Unknown	139	587240	4224.75	982	6339
TE_00000233#Unknown	213	626555	2941.57	799	3478
TE_00000234#Unknown	442	37072	83.87	0	171
TE_00000235#Unknown	1265	3348121	2646.74	871	3145
TE_00000236#Unknown	528	2793521	5290.76	0	7155
TE_00000237#Unknown	1279	1120696	876.23	0	6618
TE_00000238#Unknown	704	4293257	6098.38	4615	6620
TE_00000239#Unknown	389	298768	768.04	212	1493
TE_00000240#Unknown	1992	8719883	4377.45	52	7304
TE_00000241#Unknown	346	1085083	3136.08	401	6232
TE_00000242#Unknown	2134	3299101	1545.97	0	4372
TE_00000243#Unknown	1922	3269939	1701.32	744	3363
TE_00000244#Unknown	290	1019426	3515.26	1259	5212
TE_00000245#Unknown	616	19440	31.56	0	118
TE_00000246#Unknown	386	1431630	3708.89	33	8344
TE_00000247#Unknown	296	1237102	4179.40	2145	5737
TE_00000248#Unknown	202	360296	1783.64	600	2239
TE_00000249#DNA/DTC	752	4258761	5663.25	32	7304
TE_00000250#Unknown	363	1346644	3709.76	791	5848
TE_00000251#Unknown	285	1118016	3922.86	1688	5400
TE_00000252#LINE/unknown	421	463	1.10	0	12
TE_00000253#Unknown	115	603020	5243.65	3887	5891
TE_00000254#Unknown	883	76576	86.72	0	231
TE_00000255#Unknown	331	170289	514.47	0	1045
TE_00000256#Unknown	270	1208148	4474.62	2704	4969
TE_00000257#Unknown	361	1741741	4824.77	1690	5411
TE_00000258#Unknown	133	20851	156.77	0	269
TE_00000259#Unknown	199	345107	1734.21	184	4041
TE_00000260#Unknown	271	1099638	4057.70	1750	4647
TE_00000261#LINE/unknown	3754	551391	146.88	0	339
TE_00000262#Unknown	537	113871	212.05	0	504
TE_00000263#LINE/unknown	628	42440	67.58	0	169
TE_00000264#Unknown	223	243736	1092.99	330	1544
TE_00000265#Unknown	92	6326	68.76	0	134
TE_00000266#Unknown	123	15567	126.56	20	149
TE_00000267#Unknown	1065	4191158	3935.36	823	26788
TE_00000268#Unknown	928	1380872	1488.01	0	3123
TE_00000269#Unknown	128	142952	1116.81	229	1921
TE_00000270#Unknown	400	42186	105.47	0	223
TE_00000271#DNA/DTC	1458	1347932	924.51	100	1741
TE_00000272#Unknown	424	2132402	5029.25	2221	5918
TE_00000273#Unknown	92	361345	3927.66	3054	4365
TE_00000274#Unknown	237	695620	2935.11	1462	3798
TE_00000275#Unknown	235	673044	2864.02	225	5065
TE_00000276#Unknown	306	1050069	3431.60	1703	4590
TE_00000277#LINE/unknown	270	43127	159.73	63	211
TE_00000278#Unknown	104	433192	4165.31	0	5018
TE_00000279#Unknown	274	1059032	3865.08	769	4710
TE_00000280#Unknown	119	1592	13.38	1	20
TE_00000281#Unknown	351	294314	838.50	438	960
TE_00000282#Unknown	357	1734959	4859.83	1755	5550
TE_00000283#Unknown	161	254991	1583.80	179	2406
TE_00000284#Unknown	267	951969	3565.43	0	4719
TE_00000285#Unknown	895	2592671	2896.84	195	4056
TE_00000286#Unknown	174	533383	3065.42	1571	3431
TE_00000287#Unknown	348	1720772	4944.75	2720	5952
TE_00000288#Unknown	137	232487	1696.99	527	2680
TE_00000289#Unknown	84	246300	2932.14	27	3771
TE_00000290#Unknown	99	73757	745.02	0	886
TE_00000291#Unknown	320	1414222	4419.44	824	5296
TE_00000292#Unknown	205	49518	241.55	64	316
TE_00000293#Unknown	617	508662	824.41	5	1407
TE_00000294#Unknown	324	686351	2118.37	92	5235
TE_00000295#Unknown	346	38754	112.01	2	234
TE_00000296#Unknown	178	11086	62.28	0	106
TE_00000297#Unknown	117	362606	3099.20	2289	4212
TE_00000298#Unknown	114	76472	670.81	125	770
TE_00000299#Unknown	203	250689	1234.92	172	1747
TE_00000300#Unknown	374	607187	1623.49	203	2207
TE_00000301#Unknown	144	32703	227.10	79	288
TE_00000302#Unknown	96	375287	3909.24	2426	4486
TE_00000303#Unknown	103	619361	6013.21	4328	6806
TE_00000304#Unknown	93	336580	3619.14	2474	4186
TE_00000305#Unknown	3208	9852452	3071.21	66	8265
TE_00000306#LINE/unknown	2059	36514	17.73	0	114
TE_00000307#Unknown	554	55278	99.78	0	220
TE_00000308#Unknown	204	728621	3571.67	2046	4229
TE_00000309#Unknown	119	2217	18.63	0	38
TE_00000310#Unknown	145	64559	445.23	9	717
TE_00000311#Unknown	82	243961	2975.13	1293	4569
TE_00000312#Unknown	81	30954	382.15	211	541
TE_00000313#Unknown	2047	3505870	1712.69	696	2413
TE_00000314#Unknown	927	1608022	1734.65	3	2057
TE_00000315#DNA/DTM	476	263533	553.64	13	883
TE_00000316#Unknown	112	181175	1617.63	966	1857
TE_00000317#Unknown	391	1077328	2755.31	52	4427
TE_00000318#Unknown	322	1986051	6167.86	2800	7570
TE_00000319#Unknown	194	869120	4480.00	2821	5835
TE_00000320#Unknown	677	3757176	5549.74	2801	6787
TE_00000321#Unknown	93	124070	1334.09	126	1560
TE_00000322#Unknown	2504	3181251	1270.47	2	2071
TE_00000323#Unknown	202	881632	4364.51	1931	5638
TE_00000324#Unknown	282	377406	1338.32	142	1920
TE_00000325#Unknown	86	285158	3315.79	1050	3848
TE_00000326#Unknown	91	62372	685.41	194	969
TE_00000327#Unknown	312	190931	611.96	177	1062
TE_00000328#Unknown	84	178824	2128.86	1177	2484
TE_00000329#Unknown	421	888921	2111.45	0	4207
TE_00000330#Unknown	398	653991	1643.19	783	1827
TE_00000331#Unknown	236	562377	2382.95	333	3318
TE_00000332#Unknown	104	270286	2598.90	1774	2951
TE_00000333#Unknown	141	412788	2927.57	1162	4575
TE_00000334#Unknown	1140	497433	436.34	181	593
TE_00000335#Unknown	169	85445	505.59	76	909
TE_00000336#Unknown	118	11405	96.65	0	135
TE_00000337#Unknown	146	766461	5249.73	3694	6342
TE_00000338#DNA/DTM	2339	545294	233.13	0	558
TE_00000339#Unknown	910	107141	117.74	21	236
TE_00000340#Unknown	264	936851	3548.68	1672	4573
TE_00000341#LINE/unknown	269	426286	1584.71	1082	1966
TE_00000342#Unknown	858	79653	92.84	1	234
TE_00000343#LINE/unknown	570	1145887	2010.33	0	2721
TE_00000344#Unknown	797	1073734	1347.22	9	2094
TE_00000345#Unknown	86	196169	2281.03	1318	3245
TE_00000346#Unknown	84	91661	1091.20	642	1287
TE_00000347#Unknown	456	58282	127.81	2	303
TE_00000348#Unknown	103	262058	2544.25	921	2860
TE_00000349#LINE/unknown	448	957413	2137.08	689	2542
TE_00000350#Unknown	378	405848	1073.67	25	2061
TE_00000351#Unknown	196	209958	1071.21	269	1466
TE_00000352#DNA/DTM	1946	700008	359.72	0	578
TE_00000353#Unknown	129	686931	5325.05	3002	6744
TE_00000354#DNA/DTM	490	121787	248.54	0	434
TE_00000355#Unknown	150	523846	3492.31	2077	3886
TE_00000356#DNA/DTM	315	110920	352.13	0	458
TE_00000357#Unknown	83	511679	6164.81	2935	9315
TE_00000358#Unknown	214	149371	698.00	179	1383
TE_00000359#Unknown	109	239335	2195.73	472	3082
TE_00000360#DNA/DTM	354	143890	406.47	79	477
TE_00000361#Unknown	2257	992492	439.74	121	538
TE_00000362#DNA/DTM	561	73097	130.30	3	231
TE_00000363#Unknown	314	9998	31.84	14	38
TE_00000364#Unknown	375	171983	458.62	47	778
TE_00000365#DNA/DTM	1399	923755	660.30	0	1126
TE_00000366#Unknown	88	310745	3531.19	2479	4001
TE_00000367#Unknown	140	373341	2666.72	1604	2910
TE_00000368#Unknown	106	245305	2314.20	1599	2694
TE_00000369#Unknown	164	199284	1215.15	481	1535
TE_00000370#Unknown	118	129197	1094.89	105	2082
TE_00000371#Unknown	218	63129	289.58	61	482
TE_00000372#Unknown	388	85354	219.98	1	397
TE_00000373#Unknown	1863	38847	20.85	0	131
TE_00000374#Unknown	257	44482	173.08	2	276
TE_00000375#Unknown	266	425432	1599.37	259	1974
TE_00000376#Unknown	140	20627	147.34	90	170
TE_00000377#Unknown	430	11071	25.75	0	130
TE_00000378#Unknown	1372	259799	189.36	1	309
TE_00000379#Unknown	321	59792	186.27	55	262
TE_00000380#Unknown	751	220373	293.44	6	570
TE_00000381#Unknown	109	137390	1260.46	1	1401
TE_00000382#Unknown	817	116578	142.69	0	290
TE_00000383#Unknown	211	281974	1336.37	428	2049
TE_00000384#Unknown	207	641	3.10	0	7
TE_00000385#Unknown	526	2305	4.38	0	30
TE_00000386#Unknown	1548	1064953	687.95	0	1129
TE_00000387#Unknown	175	319482	1825.61	17	3068
TE_00000388#Unknown	502	136002	270.92	28	389
TE_00000389#Unknown	168	8298	49.39	0	84
TE_00000390#Unknown	88	212882	2419.11	820	2891
TE_00000391#Unknown	289	6648	23.00	2	37
TE_00000392#Unknown	1203	707452	588.07	2	714
TE_00000393#Unknown	237	9761	41.19	5	88
TE_00000394#Unknown	240	30225	125.94	50	184
TE_00000395#Unknown	154	4569	29.67	7	40
TE_00000396#Unknown	165	26291	159.34	1	280
TE_00000397#Unknown	214	100414	469.22	47	680
TE_00000398#Unknown	296	19941	67.37	0	100
TE_00000399#Unknown	810	230958	285.13	7	490
TE_00000400#Unknown	207	64137	309.84	2	455
TE_00000401#Unknown	1487	667731	449.05	116	740
TE_00000402#Unknown	267	39919	149.51	11	339
TE_00000403#Unknown	132	271794	2059.05	1290	2332
TE_00000404#Unknown	720	1520547	2111.87	6	3262
TE_00000405#Unknown	296	635095	2145.59	996	2602
TE_00000406#Unknown	124	24988	201.52	0	253
TE_00000407#LINE/unknown	449	10491	23.37	0	98
TE_00000408#Unknown	235	17055	72.57	24	99
TE_00000409#LINE/unknown	272	65184	239.65	0	516
TE_00000410#Unknown	168	34125	203.12	33	319
TE_00000411#Unknown	576	53758	93.33	29	207
TE_00000412#Unknown	90	19010	211.22	18	387
TE_00000413#Unknown	718	301327	419.68	112	751
TE_00000414#Unknown	196	337499	1721.93	760	1937
TE_00000415#Unknown	128	229312	1791.50	1268	1934
TE_00000416#Unknown	92	471	5.12	3	6
TE_00000417#Unknown	362	59544	164.49	0	316
TE_00000418#Unknown	102	11693	114.64	38	152
TE_00000419#Unknown	149	14634	98.21	22	148
TE_00000420#Unknown	366	97036	265.13	3	371
TE_00000421#Unknown	103	84087	816.38	582	941
TE_00000422#Unknown	124	77843	627.77	353	783
TE_00000423#Unknown	83	1238	14.92	0	37
TE_00000424#Unknown	854	1839504	2153.99	4	3095
TE_00000425#Unknown	237	126581	534.10	66	826
TE_00000426#LINE/unknown	168	309	1.84	0	5
TE_00000427#Unknown	349	43933	125.88	20	239
TE_00000428#Unknown	198	10012	50.57	0	118
TE_00000429#Unknown	151	120510	798.08	265	1109
TE_00000430#Unknown	183	26220	143.28	0	245
TE_00000431#Unknown	479	62770	131.04	0	262
TE_00000432#Unknown	316	53547	169.45	15	330
TE_00000433#Unknown	163	12908	79.19	30	110
TE_00000434#Unknown	680	185546	272.86	8	670
TE_00000435#Unknown	213	85117	399.61	182	685
TE_00000436#Unknown	308	626639	2034.54	1261	2181
TE_00000437#Unknown	215	15692	72.99	0	139
TE_00000438#Unknown	175	41101	234.86	26	371
TE_00000439#Unknown	308	28146	91.38	11	179
TE_00000440#Unknown	327	49896	152.59	7	268
TE_00000441#Unknown	214	116936	546.43	259	809
TE_00000442#Unknown	415	94504	227.72	123	334
TE_00000443#Unknown	276	57597	208.68	43	258
TE_00000444#LTR/unknown	164	12952	78.98	2	129
TE_00000445#Unknown	87	5631	64.72	2	199
TE_00000446#Unknown	899	1629855	1812.96	0	2600
TE_00000447#DNA/DTM	1286	648882	504.57	336	619
TE_00000448#Unknown	171	37647	220.16	93	290
TE_00000449#Unknown	111	11069	99.72	37	153
TE_00000450#Unknown	122	6105	50.04	0	123
TE_00000451#Unknown	262	27804	106.12	2	185
TE_00000452#Unknown	89	22322	250.81	82	291
TE_00000453#Unknown	790	255033	322.83	0	450
TE_00000454#Unknown	360	201401	559.45	106	1724
TE_00000455#Unknown	243	73743	303.47	2	518
TE_00000456#Unknown	591	13430	22.72	10	39
TE_00000457#Unknown	156	114823	736.04	307	912
TE_00000458#Unknown	93	43291	465.49	329	564
TE_00000459#Unknown	92	7482	81.33	0	105
TE_00000460#Unknown	294	31051	105.62	33	137
TE_00000461#Unknown	80	30197	377.46	261	405
TE_00000462#Unknown	117	368177	3146.81	553	5732
TE_00000463#Unknown	133	26228	197.20	6	356
TE_00000464#Unknown	121	232159	1918.67	832	2285
TE_00000465#Unknown	215	30988	144.13	0	190
TE_00000466#Unknown	156	832	5.33	0	13
TE_00000467#Unknown	111	43514	392.02	212	501
TE_00000468#Unknown	397	63198	159.19	1	255
TE_00000469#Unknown	472	134429	284.81	2	427
TE_00000470#Unknown	244	45279	185.57	83	230
TE_00000471#Unknown	464	12982	27.98	4	49
TE_00000472#Unknown	183	35253	192.64	108	253
TE_00000473#Unknown	379	49464	130.51	0	213
TE_00000474#Unknown	992	75621	76.23	33	115
TE_00000475#Unknown	521	162421	311.75	98	403
TE_00000476#Unknown	96	18595	193.70	45	310
TE_00000477#Unknown	923	213899	231.74	1	512
TE_00000478#Unknown	118	12736	107.93	0	209
TE_00000479#DNA/DTM	227	194	0.85	0	2
TE_00000480#Unknown	80	53243	665.54	0	790
TE_00000481#Unknown	349	218369	625.70	220	817
TE_00000482#Unknown	102	39498	387.24	315	439
TE_00000483#Unknown	279	149591	536.17	233	644
TE_00000484#Unknown	333	68634	206.11	53	282
TE_00000485#Unknown	818	621419	759.68	27	996
TE_00000486#Unknown	940	34818	37.04	0	121
TE_00000487#Unknown	215	44853	208.62	117	259
TE_00000488#Unknown	1148	529585	461.31	23	599
TE_00000489#DNA/DTM	338	50152	148.38	1	239
TE_00000490#Unknown	270	6820	25.26	2	41
TE_00000491#Unknown	1160	871115	750.96	3	1212
TE_00000492#Unknown	139	72111	518.78	215	566
TE_00000493#Unknown	341	66167	194.04	89	258
TE_00000494#Unknown	575	64707	112.53	44	166
TE_00000495#Unknown	92	70435	765.60	14	1211
TE_00000496#Unknown	196	6641	33.88	11	43
TE_00000497#Unknown	314	8940	28.47	1	95
TE_00000498#Unknown	312	15216	48.77	3	98
TE_00000499#Unknown	244	5219	21.39	0	33
TE_00000500#Unknown	91	1646	18.09	0	38
TE_00000501#Unknown	716	484329	676.44	92	1129
TE_00000502#Unknown	329	285	0.87	0	2
TE_00000503#Unknown	741	157533	212.60	34	334
TE_00000504#Unknown	273	19084	69.90	1	104
TE_00000505#Unknown	81	35345	436.36	172	575
TE_00000506#Unknown	161	107594	668.29	144	799
TE_00000507#Unknown	329	92479	281.09	1	346
TE_00000508#Unknown	1090	296512	272.03	42	419
TE_00000509#Unknown	158	117436	743.27	0	907
TE_00000510#Unknown	167	147098	880.83	65	1550
TE_00000511#Unknown	2661	596512	224.17	4	2136
TE_00000512#DNA/DTM	87	12485	143.51	89	170
