chrom	length	bases	mean	min	max
TE_00000795#DNA/Helitron	12485	23645926	1893.95	0	10360
TE_00000796#DNA/DTT	1195	16374	13.70	0	200
TE_00000797#DNA/DTT	3390	18701	5.52	0	18
TE_00000798#DNA/Helitron	11873	573689	48.32	0	871
TE_00000799#DNA/DTT	1455	19491	13.40	0	252
TE_00000800#DNA/DTT	4309	673266	156.25	1	2816
TE_00000801#DNA/DTT	737	1475	2.00	0	11
TE_00000802#DNA/Helitron	11124	250522	22.52	0	352
TE_00000803#DNA/DTC	3227	246812	76.48	1	390
TE_00000804#DNA/DTT	2209	28233	12.78	0	57
TE_00000805#DNA/DTC	3154	45236	14.34	0	75
TE_00000806#DNA/Helitron	6112	80276	13.13	0	150
TE_00000807#DNA/Helitron	3989	129599	32.49	0	120
TE_00000808#DNA/Helitron	5159	56053	10.87	0	192
TE_00000809#DNA/DTT	2240	14080	6.29	0	43
TE_00000810#DNA/Helitron	7832	187319	23.92	0	208
TE_00000811#DNA/DTT	2760	16592	6.01	0	67
TE_00000812#DNA/DTT	1121	10889	9.71	0	52
TE_00000813#DNA/DTC	1853	765942	413.35	0	20006
TE_00000814#DNA/Helitron	7255	167935	23.15	0	618
TE_00000815#DNA/Helitron	4711	61682	13.09	0	49
TE_00000816#DNA/DTC	3407	128116	37.60	1	175
TE_00000817#DNA/DTM	3006	155513	51.73	2	197
TE_00000818#DNA/DTT	1929	57966	30.05	0	670
TE_00000819#DNA/Helitron	7935	103310	13.02	0	181
TE_00000820#DNA/Helitron	6875	85841	12.49	0	312
TE_00000821#DNA/Helitron	4274	12852	3.01	0	55
TE_00000822#DNA/DTT	2436	13466	5.53	0	58
TE_00000823#DNA/DTT	1909	9855	5.16	0	37
TE_00000824#DNA/DTT	2109	37738	17.89	1	330
TE_00000825#DNA/DTT	4023	30333	7.54	0	115
TE_00000826#DNA/DTT	3349	68370	20.42	1	888
TE_00000827#DNA/DTT	1469	13136	8.94	0	84
TE_00000828#DNA/DTT	2381	49934	20.97	0	706
TE_00000829#DNA/DTT	2339	51978	22.22	1	550
TE_00000830#MITE/DTC	241	858	3.56	0	6
TE_00000831#DNA/DTT	3062	13368	4.37	0	53
TE_00000832#DNA/DTT	1945	22677	11.66	0	199
TE_00000833#DNA/DTT	871	16262	18.67	2	112
TE_00000834#DNA/DTT	2185	12558	5.75	0	154
TE_00000835#DNA/DTT	1905	28729	15.08	0	244
TE_00000836#DNA/DTT	1980	18378	9.28	0	163
TE_00000837#DNA/DTC	3840	817905	213.00	2	2899
TE_00000838#DNA/DTC	4443	167937	37.80	4	122
TE_00000839#DNA/Helitron	10607	67437513	6357.83	0	33355
TE_00000840#DNA/Helitron	4915	259134	52.72	0	1596
TE_00000841#DNA/DTT	1626	530845	326.47	0	2233
TE_00000842#DNA/DTM	645	1696	2.63	0	7
TE_00000843#DNA/DTT	678	913770	1347.74	0	5195
TE_00000844#DNA/DTT	2153	8069809	3748.17	6	5818
TE_00000845#DNA/DTT	2394	37161	15.52	0	99
TE_00000846#DNA/Helitron	4015	302400	75.32	0	1396
TE_00000847#DNA/Helitron	8430	254021	30.13	0	139
TE_00000848#DNA/DTT	1563	20364	13.03	0	99
TE_00000849#DNA/DTT	2044	79052	38.68	0	784
TE_00000850#DNA/DTC	3804	874068	229.78	6	896
TE_00000851#DNA/DTT	2006	42347	21.11	0	575
TE_00000852#DNA/DTT	2924	196356	67.15	1	1034
TE_00000853#DNA/DTT	1781	17693	9.93	0	177
TE_00000854#DNA/DTT	1779	15885	8.93	0	122
TE_00000855#DNA/Helitron	2304	51714	22.45	0	200
TE_00000856#DNA/DTC	3454	66954	19.38	0	124
TE_00000857#DNA/DTT	2216	10644	4.80	0	23
TE_00000858#DNA/DTT	2982	27799	9.32	0	131
TE_00000859#DNA/DTT	3150	127477	40.47	1	2657
TE_00000860#DNA/Helitron	1012	8331	8.23	1	40
TE_00000861#DNA/DTC	4339	533671	122.99	3	633
TE_00000862#DNA/DTT	3580	227035	63.42	0	1272
TE_00000863#DNA/DTT	1947	8637	4.44	1	15
TE_00000864#DNA/DTT	1206	13815	11.46	1	235
TE_00000865#DNA/Helitron	4192	1079698	257.56	1	2057
TE_00000866#DNA/Helitron	4155	62423	15.02	1	312
TE_00000867#DNA/DTT	3666	195868	53.43	3	242
TE_00000868#DNA/Helitron	2521	32144	12.75	1	36
TE_00000869#DNA/DTM	1004	14213	14.16	0	61
TE_00000870#DNA/DTT	2914	374894	128.65	0	2131
TE_00000871#DNA/DTM	765	12973	16.96	2	39
TE_00000872#DNA/DTT	1130	11567	10.24	1	170
TE_00000873#DNA/DTT	1342	251469	187.38	1	1151
TE_00000874#DNA/DTT	979	6464	6.60	1	67
TE_00000875#DNA/DTT	1786	18828	10.54	0	152
TE_00000876#DNA/Helitron	3819	70932	18.57	0	93
TE_00000877#DNA/DTT	4200	1976969	470.71	0	4899
TE_00000878#DNA/Helitron	1120	13844	12.36	0	197
TE_00000879#DNA/DTH	979	184368	188.32	2	339
TE_00000880#DNA/DTT	2758	85343	30.94	0	925
TE_00000882#DNA/DTT	1728	11139	6.45	0	34
TE_00000883#DNA/DTM	3903	82882	21.24	0	106
TE_00000884#DNA/DTT	1836	17571	9.57	0	144
TE_00000885#DNA/DTT	2840	12546	4.42	0	47
TE_00000886#DNA/DTT	3818	64547	16.91	0	186
TE_00000887#DNA/DTC	4555	197536	43.37	0	319
TE_00000888#DNA/DTM	1035	27420	26.49	5	69
TE_00000889#DNA/Helitron	681	5195	7.63	0	14
TE_00000890#DNA/Helitron	8561	156769	18.31	0	511
TE_00000891#DNA/DTT	2823	268428	95.09	0	2708
TE_00000892#DNA/DTM	788	9032	11.46	0	53
TE_00000893#DNA/DTC	2895	309506	106.91	10	379
TE_00000894#DNA/Helitron	4820	98295	20.39	0	63
TE_00000895#DNA/DTT	666	2735	4.11	1	14
TE_00000896#DNA/DTM	615	69203	112.53	1	682
TE_00000897#DNA/Helitron	8461	1178820	139.32	1	2164
TE_00000898#DNA/Helitron	3013	15988	5.31	0	91
TE_00000899#DNA/DTM	1141	23992	21.03	2	55
TE_00000900#DNA/Helitron	2849	29999	10.53	1	93
TE_00000901#DNA/Helitron	4948	151907	30.70	0	698
TE_00000902#DNA/Helitron	6701	20709	3.09	0	42
TE_00000903#DNA/DTH	898	96073	106.99	10	219
TE_00000904#DNA/DTT	1228	76222	62.07	2	699
TE_00000905#DNA/DTT	1743	102778	58.97	0	401
TE_00000906#DNA/DTT	2212	12610	5.70	0	54
TE_00000907#DNA/DTT	876	30708	35.05	0	377
TE_00000908#DNA/DTT	1398	3155	2.26	0	12
TE_00000909#DNA/Helitron	8070	412462	51.11	0	770
TE_00000910#DNA/DTT	2467	161205	65.34	0	1833
TE_00000911#DNA/DTT	1989	128577	64.64	0	1068
TE_00000912#DNA/Helitron	6407	100011	15.61	0	438
TE_00000913#DNA/DTT	925	13451	14.54	1	218
TE_00000914#DNA/DTT	1421	36857	25.94	0	474
TE_00000915#DNA/DTT	525	14417	27.46	1	157
TE_00000916#DNA/DTT	1911	22651	11.85	0	144
TE_00000917#DNA/DTT	1649	9898	6.00	0	38
TE_00000918#DNA/DTT	1033	39067	37.82	0	279
TE_00000919#DNA/DTT	2264	94368	41.68	0	396
TE_00000920#DNA/DTH	2610	132100	50.61	0	848
TE_00000921#DNA/DTT	1177	20672	17.56	0	96
TE_00000922#DNA/DTT	473	5953	12.59	1	70
TE_00000923#DNA/Helitron	2581	40876	15.84	0	154
TE_00000924#DNA/DTT	1368	12599	9.21	0	114
TE_00000925#DNA/DTT	550	12860	23.38	0	112
TE_00000926#DNA/Helitron	13633	691631	50.73	0	429
TE_00000927#DNA/DTT	3565	22421	6.29	0	174
TE_00000928#DNA/Helitron	3150	93607	29.72	1	369
TE_00000929#DNA/DTT	2302	33980	14.76	0	334
TE_00000930#DNA/DTM	1493	8637	5.78	0	25
TE_00000931#DNA/Helitron	2838	16659	5.87	0	107
TE_00000932#DNA/DTT	515	31339	60.85	0	494
TE_00000933#DNA/DTT	567	3648	6.43	0	69
TE_00000934#DNA/DTM	623	63481	101.90	2	232
TE_00000935_INT#LTR/Gypsy	1263	775388	613.93	0	2715
TE_00000936#DNA/Helitron	2200	46964	21.35	0	327
TE_00000937#DNA/Helitron	8502	92332	10.86	0	192
TE_00000938#DNA/Helitron	4645	40058	8.62	0	235
TE_00000939#DNA/DTT	3936	23261	5.91	0	59
TE_00000940#DNA/DTH	2541	15125	5.95	0	92
TE_00000941#DNA/DTT	1601	14522	9.07	0	100
TE_00000942#DNA/DTC	2033	11115	5.47	0	20
TE_00000943#DNA/Helitron	3239	96564	29.81	0	219
TE_00000944#DNA/DTT	3025	34612	11.44	0	241
TE_00000945#DNA/DTT	2421	29645	12.24	0	164
TE_00000946#DNA/DTT	2859	78790	27.56	0	770
TE_00000947#DNA/DTT	1789	213613	119.40	0	3085
TE_00000948#DNA/DTM	1030	14223	13.81	0	55
TE_00000949#DNA/Helitron	4583	118346	25.82	1	637
TE_00000950#DNA/DTT	3482	112538	32.32	0	662
TE_00000951#DNA/DTT	2790	14236	5.10	0	18
TE_00000952#DNA/DTM	3038	219498	72.25	0	162
TE_00000953#DNA/DTT	2399	33069	13.78	0	248
TE_00000954#DNA/DTC	4210	575610	136.72	2	658
TE_00000955#DNA/DTT	3113	1210547	388.87	0	990
TE_00000956#DNA/DTT	2467	35618	14.44	1	165
TE_00000957#DNA/DTM	1122	34471	30.72	6	92
TE_00000958#DNA/DTC	695	121112	174.26	0	468
TE_00000959#DNA/Helitron	2092	20508	9.80	1	27
TE_00000960#DNA/Helitron	14669	123787	8.44	0	192
TE_00000961#DNA/DTC	2232	16592	7.43	1	24
TE_00000962#DNA/Helitron	9553	250529	26.23	0	183
TE_00000963#DNA/Helitron	3031	44677	14.74	0	279
TE_00000964#DNA/DTH	783	65356	83.47	5	202
TE_00000965#DNA/DTT	1289	43636	33.85	1	213
TE_00000966#DNA/DTC	3144	214109	68.10	0	500
TE_00000967#DNA/Helitron	8381	135360	16.15	0	418
TE_00000968#DNA/Helitron	10103	273690	27.09	0	1336
TE_00000969#DNA/Helitron	4614	72382	15.69	0	274
TE_00000970#DNA/DTH	920	35969	39.10	0	116
TE_00000971#MITE/DTM	168	1242	7.39	0	12
TE_00000972#DNA/DTM	3727	26768	7.18	0	23
TE_00000973#DNA/DTT	3317	79109	23.85	1	147
TE_00000974#DNA/DTT	2246	11791	5.25	0	45
TE_00000975#DNA/DTM	1026	56414	54.98	4	178
TE_00000976#DNA/DTM	2250	15061	6.69	0	63
TE_00000977#DNA/DTT	2909	203232	69.86	0	455
TE_00000978#DNA/DTH	786	209394	266.40	16	1043
TE_00000979#DNA/DTM	665	1364	2.05	0	5
TE_00000980#DNA/DTT	3226	459729	142.51	0	4013
TE_00000981#DNA/DTT	3584	109317	30.50	0	250
TE_00000982#DNA/Helitron	9670	481026	49.74	0	1499
TE_00000983#DNA/DTH	953	180442	189.34	2	537
TE_00000984#DNA/DTC	3654	235904	64.56	2	450
TE_00000985#DNA/DTT	3009	16933	5.63	0	82
TE_00000986#DNA/DTT	3624	42194	11.64	0	166
TE_00000987#DNA/DTT	3684	41793	11.34	0	250
TE_00000988#DNA/DTM	1228	15089	12.29	1	229
TE_00000989#DNA/DTT	484	241505	498.98	1	1640
TE_00000990#DNA/DTC	3072	21721	7.07	0	29
TE_00000991#DNA/DTC	1659	21619	13.03	0	296
TE_00000992#DNA/Helitron	2610	468199	179.39	0	1151
TE_00000993#DNA/Helitron	6221	119885	19.27	0	508
TE_00000994#DNA/DTT	1617	125819	77.81	0	1920
TE_00000995#DNA/DTT	3530	121807	34.51	3	108
TE_00000996#DNA/Helitron	6068	120727	19.90	1	120
TE_00000997#DNA/DTT	2284	14873	6.51	0	133
TE_00000998#DNA/DTT	1232	13508	10.96	0	124
TE_00000999#DNA/DTT	1868	28679	15.35	0	177
TE_00001000#DNA/DTT	1323	9050	6.84	0	37
TE_00001001#DNA/DTT	3017	21810	7.23	0	128
TE_00001002#DNA/Helitron	5045	216788	42.97	0	1550
TE_00001003#DNA/DTT	2540	195184	76.84	0	3295
TE_00001004#DNA/DTT	1281	60857	47.51	0	236
TE_00001005#DNA/Helitron	5863	73461	12.53	0	72
TE_00001006#DNA/DTT	3529	82425	23.36	0	348
TE_00001007#DNA/DTT	1772	25302	14.28	1	206
TE_00001008#DNA/DTT	989	29065	29.39	0	376
TE_00001009#DNA/DTC	1968	60031	30.50	0	262
TE_00001010#DNA/DTT	2437	18198	7.47	0	67
TE_00001011#DNA/DTC	3363	529295	157.39	10	1406
TE_00001012#DNA/Helitron	6639	287836	43.36	0	595
TE_00001013#DNA/DTT	1913	9766	5.11	0	45
TE_00001014#DNA/Helitron	4916	126963	25.83	0	405
TE_00001015#DNA/DTT	1669	10029	6.01	1	33
TE_00001016#DNA/DTT	2814	94511	33.59	1	560
TE_00001017#DNA/DTT	1569	4070	2.59	0	8
TE_00001018#DNA/Helitron	5201	209744	40.33	0	165
TE_00001019#DNA/DTT	651	2549	3.92	1	21
TE_00001020#DNA/DTC	3137	54820	17.48	3	75
TE_00001021#DNA/Helitron	4799	124621	25.97	0	229
TE_00001022#DNA/DTT	617	21531	34.90	0	237
TE_00001023#DNA/DTC	1413	328166	232.25	0	620
TE_00001024#DNA/Helitron	14340	12640568	881.49	0	5350
TE_00001025#DNA/Helitron	4093	27787	6.79	0	144
TE_00001026#DNA/DTT	1714	24698	14.41	0	210
TE_00001027#DNA/DTM	2162	58108	26.88	0	197
TE_00001028#DNA/DTT	2488	12733	5.12	0	44
TE_00001029#DNA/Helitron	5821	151013	25.94	1	794
TE_00001030#DNA/DTT	2202	15282	6.94	0	52
TE_00001031#DNA/DTM	3470	18864	5.44	0	66
TE_00001032#DNA/Helitron	11440	841766	73.58	0	2121
TE_00001033#MITE/DTM	277	243	0.88	0	5
TE_00001034#DNA/DTT	776	22722	29.28	0	183
TE_00001035#DNA/DTT	2419	65511	27.08	0	350
TE_00001036#DNA/DTT	3364	43006	12.78	0	385
TE_00001037#DNA/DTT	1723	27915	16.20	0	241
TE_00001038#DNA/DTT	1358	49030	36.10	0	466
TE_00001039#DNA/DTT	2180	9321	4.28	1	28
TE_00001040#DNA/DTT	2362	9839	4.17	0	19
TE_00001041#DNA/DTM	1360	60409	44.42	1	111
TE_00001042#DNA/DTC	2842	453718	159.65	0	2465
TE_00001043#DNA/DTT	1392	10742	7.72	0	34
TE_00001044#DNA/DTT	810	27374	33.80	1	269
TE_00001045#DNA/DTC	1740	54867	31.53	1	166
TE_00001046#DNA/DTT	1085	34671	31.95	0	426
TE_00001047#DNA/Helitron	8672	136609	15.75	0	625
TE_00001048#DNA/DTT	3701	79918	21.59	0	531
TE_00001049#DNA/DTT	761	23837	31.32	1	229
TE_00001050#DNA/DTT	1721	45003	26.15	0	337
TE_00001051#DNA/DTT	2008	15640	7.79	0	127
TE_00001052#DNA/Helitron	8125	634697	78.12	0	2012
TE_00001053#DNA/DTT	714	13022	18.24	0	224
TE_00001054#DNA/Helitron	3247	249025	76.69	1	363
TE_00001055#DNA/Helitron	9183	14913103	1623.99	0	11535
TE_00001056#DNA/Helitron	1242	41681	33.56	0	899
TE_00001057#DNA/DTM	2954	7596	2.57	0	12
TE_00001058#DNA/DTM	1178	30020	25.48	0	149
TE_00001059#DNA/DTC	904	154760	171.19	4	324
TE_00001060#DNA/DTC	2975	15312	5.15	0	25
TE_00001061#DNA/DTT	2713	158204	58.31	0	619
TE_00001062#DNA/DTT	3402	53922	15.85	0	1049
TE_00001063_INT#LTR/Gypsy	6976	4172737	598.16	0	2115
TE_00001064_INT#LTR/Gypsy	7824	2393882	305.97	0	1766
TE_00001065#DNA/Helitron	4157	53492	12.87	0	408
TE_00001066#DNA/DTT	1489	12607	8.47	0	92
TE_00001067#MITE/DTA	125	3716	29.73	2	136
TE_00001068#MITE/DTT	104	525	5.05	0	14
TE_00001069#MITE/DTT	142	734	5.17	2	7
TE_00001070_LTR#LTR/Gypsy	328	4348	13.26	4	26
TE_00001071#MITE/DTT	169	53692	317.70	3	1453
TE_00001072_INT#LTR/Gypsy	6293	141564	22.50	6	515
TE_00001073#DNA/DTM	655	5977	9.13	0	20
TE_00001075#DNA/DTC	3684	297529	80.76	1	394
TE_00001076_INT#LTR/Gypsy	3631	2385983	657.11	1	1657
TE_00001077_INT#LTR/Gypsy	6185	4303259	695.76	0	1893
TE_00001079_LTR#LTR/Copia	155	5470	35.29	28	42
TE_00001080_INT#LTR/Gypsy	3062	1082176	353.42	1	1193
TE_00001081_INT#LTR/Gypsy	7868	6837511	869.03	1	4411
TE_00001083_INT#LTR/Gypsy	5949	2184581	367.22	1	1222
TE_00001084#DNA/DTM	1127	58170	51.61	2	175
TE_00001085#MITE/DTT	496	27020	54.48	0	195
TE_00001086#DNA/DTA	3114	56100	18.02	0	79
TE_00001087#DNA/DTH	1520	226748	149.18	2	407
TE_00001088#DNA/DTC	3652	772578	211.55	0	1827
TE_00001089#DNA/DTA	3654	238919	65.39	1	122
TE_00001091#MITE/DTM	269	31588	117.43	17	212
TE_00001094#DNA/Helitron	3726	1155624	310.15	0	3818
TE_00001096#DNA/DTC	2457	184812	75.22	1	324
TE_00001098#MITE/DTA	182	1799	9.88	2	15
TE_00001099#MITE/DTT	520	75329	144.86	0	329
TE_00001100#DNA/DTT	1368	9266607	6773.84	0	33635
TE_00001101#DNA/DTC	3483	901691	258.88	10	813
TE_00001102_INT#LTR/Copia	4598	642919	139.83	19	584
TE_00001103_INT#LTR/Gypsy	5089	20610564	4050.02	0	27670
TE_00001104_INT#LTR/Copia	4520	266963	59.06	0	443
TE_00001105_INT#LTR/Copia	4456	66951	15.02	1	101
TE_00001107_INT#LTR/Copia	2322	69562	29.96	0	63
TE_00001108#DNA/DTC	427	2633	6.17	1	55
TE_00001109_LTR#LTR/Copia	420	6147	14.64	2	59
TE_00001110_LTR#LTR/Copia	218	5880	26.97	12	48
TE_00001112_INT#LTR/Gypsy	245	502441	2050.78	0	3735
TE_00001113#MITE/DTM	141	18509	131.27	75	172
TE_00001114#DNA/DTC	137	709	5.18	0	20
TE_00001115#DNA/DTA	3392	215474	63.52	4	271
TE_00001116_INT#LTR/Copia	4771	604806	126.77	1	437
TE_00001117#DNA/DTC	444	15189	34.21	0	225
TE_00001118_INT#LTR/Gypsy	324	709622	2190.19	0	3966
TE_00001119#MITE/DTH	326	4690	14.39	9	18
TE_00001120#DNA/Helitron	6611	25384492	3839.74	0	6803
TE_00001121#DNA/DTT	1034	21173	20.48	1	52
TE_00001122#DNA/DTT	1362	7823	5.74	0	52
TE_00001126_INT#LTR/Gypsy	9614	11272788	1172.54	0	5755
TE_00001127_LTR#LTR/Gypsy	153	199566	1304.35	0	3189
TE_00001129_INT#LTR/Copia	2167	129949	59.97	1	579
TE_00001131#MITE/DTA	200	3532	17.66	0	38
TE_00001132#MITE/DTT	82	463	5.65	2	9
TE_00001133#DNA/DTM	1369	95545	69.79	6	548
TE_00001135_INT#LTR/Copia	2299	5469214	2378.95	0	6344
TE_00001136#DNA/DTC	4032	2346760	582.03	9	2520
TE_00001138_INT#LTR/Copia	82	8887	108.38	0	167
TE_00001140_INT#LTR/Copia	255	7233166	28365.36	155	40410
TE_00001141_INT#LTR/Copia	5015	631024	125.83	3	330
TE_00001142#DNA/DTC	4353	25850000	5938.43	124	15225
TE_00001143#MITE/DTT	92	36452	396.22	239	477
TE_00001144#MITE/DTT	167	18648	111.66	1	183
TE_00001145_INT#LTR/Gypsy	6871	14579393	2121.87	9	7115
TE_00001146#DNA/Helitron	8631	559864	64.87	0	362
TE_00001148#MITE/DTT	119	18300	153.78	1	215
TE_00001149_LTR#LTR/Copia	347	7215	20.79	8	45
TE_00001151#DNA/DTA	1271	30266	23.81	6	119
TE_00001152_INT#LTR/Gypsy	11419	4483374	392.62	3	2626
TE_00001153_LTR#LTR/Copia	1359	27879608	20514.80	3492	26843
TE_00001154#DNA/DTC	3221	312078	96.89	0	733
TE_00001155#MITE/DTH	160	3784	23.65	11	38
TE_00001156#DNA/DTC	1785	24562	13.76	0	81
TE_00001157#MITE/DTA	465	74262	159.70	6	211
TE_00001158#DNA/Helitron	7411	394108	53.18	0	2049
TE_00001159#DNA/DTC	429	1198	2.79	0	5
TE_00001160_INT#LTR/Gypsy	11345	4540343	400.21	1	3387
TE_00001161#DNA/DTC	3597	114920	31.95	0	142
TE_00001162#MITE/DTH	183	21822	119.25	24	230
TE_00001163_INT#LTR/Gypsy	8507	3880483	456.15	2	2792
TE_00001164_INT#LTR/Gypsy	131	3936	30.05	0	89
TE_00001165_LTR#LTR/Copia	1602	30681623	19152.07	4127	31933
TE_00001166_LTR#LTR/Copia	210	12449	59.28	6	135
TE_00001167#MITE/DTM	454	50095	110.34	3	299
TE_00001168#DNA/Helitron	2505	23576	9.41	1	24
TE_00001170#DNA/DTM	1392	21139	15.19	6	34
TE_00001172#DNA/Helitron	10323	2318525	224.60	0	1113
TE_00001173#MITE/DTT	255	64	0.25	0	1
TE_00001174_INT#LTR/Gypsy	1213	1163520	959.21	0	2900
TE_00001175#DNA/Helitron	5308	140571	26.48	0	132
TE_00001177_LTR#LTR/Gypsy	312	4797	15.38	2	25
TE_00001178_LTR#LTR/Copia	247	2423	9.81	2	18
TE_00001179#DNA/DTH	1154	28935	25.07	2	77
TE_00001180_LTR#LTR/Gypsy	3913	15919587	4068.38	39	25138
TE_00001181#DNA/DTC	92	505	5.49	3	6
TE_00001183#DNA/DTC	3770	97435	25.84	0	127
TE_00001184_INT#LTR/Gypsy	478	1082686	2265.03	7	8215
TE_00001185#DNA/DTM	1323	15532	11.74	0	70
TE_00001186_LTR#LTR/Copia	179	5867017	32776.63	418	46938
TE_00001188#DNA/DTC	1094	101755	93.01	0	526
TE_00001189_INT#LTR/Gypsy	7561	20319242	2687.37	18	7048
TE_00001190#DNA/Helitron	3345	33648	10.06	0	41
TE_00001191#MITE/DTT	118	662	5.61	2	17
TE_00001192#DNA/Helitron	955	12977	13.59	2	47
TE_00001193_INT#LTR/Gypsy	663	1971891	2974.19	12	7004
TE_00001194#DNA/DTA	3441	219009	63.65	13	152
TE_00001196#DNA/DTT	753	2486092	3301.58	41	6335
TE_00001197_INT#LTR/Gypsy	2604	6963147	2674.02	0	12570
TE_00001199_LTR#LTR/Gypsy	386	3988	10.33	2	17
TE_00001200_INT#LTR/Gypsy	8896	10311960	1159.17	8	3360
TE_00001201#DNA/Helitron	361	12459	34.51	0	107
TE_00001203#DNA/DTT	4019	3305199	822.39	0	4718
TE_00001205#DNA/DTT	3787	122749	32.41	0	2505
TE_00001207#DNA/DTA	2185	32006	14.65	2	84
TE_00001208_INT#LTR/Gypsy	280	78841	281.57	9	511
TE_00001209#DNA/DTM	1085	48618	44.81	1	239
TE_00001212_INT#LTR/Gypsy	12288	4720633	384.17	4	2277
TE_00001213#MITE/DTA	172	1414	8.22	2	13
TE_00001214#MITE/DTM	98	6430	65.61	32	120
TE_00001216_INT#LTR/Gypsy	3417	11122452	3255.03	0	9446
TE_00001217_LTR#LTR/Copia	187	196957	1053.25	164	1412
TE_00001218_LTR#LTR/Gypsy	919	2408669	2620.97	99	7540
TE_00001219_INT#LTR/Copia	327	1275278	3899.93	0	12096
TE_00001220#DNA/Helitron	367	6883	18.75	1	40
TE_00001222#DNA/Helitron	532	6305	11.85	0	92
TE_00001224#DNA/DTT	2344	69049	29.46	0	87
TE_00001225_INT#LTR/Copia	3009	16932146	5627.17	0	13095
TE_00001226#DNA/DTM	1654	55117	33.32	0	165
TE_00001228#DNA/DTT	314	65266	207.85	56	273
TE_00001229#MITE/DTH	105	474	4.51	3	5
TE_00001230_INT#LTR/Gypsy	901	44147	49.00	0	128
TE_00001231#DNA/Helitron	1496	34454	23.03	2	174
TE_00001232_INT#LTR/Copia	955	787904	825.03	0	2853
TE_00001233_INT#LTR/Copia	4740	206858	43.64	0	1082
TE_00001234#MITE/DTA	188	5472	29.11	5	42
TE_00001235_LTR#LTR/Copia	247	11242	45.51	15	73
TE_00001236#DNA/DTT	666	2209	3.32	0	9
TE_00001237_INT#LTR/Copia	4573	926173	202.53	1	1021
TE_00001238#MITE/DTM	324	57392	177.14	1	226
TE_00001241#MITE/DTA	406	4953	12.20	3	32
TE_00001242#MITE/DTT	234	15993	68.35	2	146
TE_00001243_INT#LTR/Copia	4849	78559	16.20	5	42
TE_00001244_INT#LTR/Copia	4821	300740	62.38	1	226
TE_00001246_INT#LTR/Gypsy	9683	8585672	886.67	0	9029
